"자치구 기준일","종로구 전체","종로구 추가","중구 전체","중구 추가","용산구 전체","용산구 추가","성동구 전체","성동구 추가","광진구 전체","광진구 추가","동대문구 전체","동대문구 추가","중랑구 전체","중랑구 추가","성북구 전체","성북구 추가","강북구 전체","강북구 추가","도봉구 전체","도봉구 추가","노원구 전체","노원구 추가","은평구 전체","은평구 추가","서대문구 전체","서대문구 추가","마포구 전체","마포구 추가","양천구 전체","양천구 추가","강서구 전체","강서구 추가","구로구 전체","구로구 추가","금천구 전체","금천구 추가","영등포구 전체","영등포구 추가","동작구 전체","동작구 추가","관악구 전체","관악구 추가","서초구 전체","서초구 추가","강남구 전체","강남구 추가","송파구 전체","송파구 추가","강동구 전체","강동구 추가","기타 전체","기타 추가"
"2022.10.27.00","66418","77","60079","84","103174","110","142867","186","173460","232","167318","218","182551","239","211450","286","134637","190","149412","243","252397","320","223807","341","150797","207","183811","293","215753","292","281698","445","200177","290","113486","155","201424","281","196164","246","246391","341","196740","243","253702","335","324315","369","226756","304","306945","521"
"2022.10.26.00","66341","90","59995","100","103064","149","142681","245","173228","273","167100","238","182314","297","211164","344","134447","220","149169","253","252077","360","223466","351","150590","222","183520","311","215461","380","281253","496","199888","303","113331","138","201150","275","195919","317","246050","412","196497","302","253368","363","323947","462","226452","350","306425","655"
"2022.10.25.00","66251","136","59896","121","102915","182","142437","312","172955","308","166862","305","182017","399","210820","441","134227","249","148916","371","251717","537","223115","445","150368","316","183209","413","215081","390","280757","609","199586","363","113193","233","200883","391","195606","409","245638","561","196195","299","253006","479","323485","685","226102","440","305771","672"
"2022.10.24.00","66116","21","59775","16","102734","38","142125","85","172647","74","166557","86","181618","88","210379","93","133979","62","148546","63","251180","135","222670","185","150052","60","182800","96","214691","129","280148","167","199223","51","112960","40","200496","72","195198","87","245077","97","195896","113","252527","146","322800","159","225662","115","305100","160"
"2022.10.23.00","66095","49","59759","51","102696","103","142040","118","172573","179","166471","191","181530","193","210286","218","133917","133","148483","183","251045","263","222485","209","149992","146","182704","215","214562","278","279981","338","199172","203","112920","117","200424","198","195111","230","244980","271","195783","211","252381","280","322641","330","225547","206","304940","263"
"2022.10.22.00","66046","71","59708","62","102593","111","141922","186","172394","155","166280","223","181337","215","210068","231","133784","154","148300","186","250782","315","222276","308","149846","159","182489","231","214284","275","279643","397","198969","242","112803","114","200226","205","194881","239","244709","278","195572","187","252101","291","322311","445","225341","265","304677","471"
"2022.10.21.00","65975","67","59649","60","102482","103","141737","139","172239","165","166057","176","181122","181","209839","177","133630","129","148114","142","250467","238","221968","247","149688","178","182259","192","214009","219","279246","340","198727","225","112689","107","200021","171","194643","214","244431","251","195385","199","251810","265","321867","306","225076","199","304207","371"
"2022.10.20.00","65908","79","59589","57","102379","113","141598","142","172074","176","165881","181","180941","178","209662","239","133501","127","147972","180","250229","254","221721","250","149510","171","182067","217","213790","227","278906","335","198502","201","112582","118","199858","193","194429","209","244180","270","195187","193","251545","296","321561","371","224877","227","303836","412"
"2022.10.19.00","65829","84","59532","57","102266","117","141456","167","171898","181","165700","190","180763","232","209424","261","133375","141","147793","195","249976","268","221472","298","149339","195","181850","219","213563","237","278572","414","198301","206","112465","124","199665","201","194220","228","243910","291","194994","235","251249","271","321190","369","224651","248","303425","468"
"2022.10.18.00","65745","93","59475","80","102149","140","141289","230","171717","221","165510","262","180532","289","209163","291","133234","177","147598","242","249708","387","221174","303","149144","263","181631","311","213326","315","278159","457","198095","305","112341","171","199464","265","193992","299","243619","347","194759","273","250978","393","320821","569","224403","359","302957","489"
"2022.10.17.00","65745","93","59475","80","102149","140","141289","230","171717","221","165510","262","180532","289","209163","291","133234","177","147598","242","249708","387","221174","303","149144","263","181631","311","213326","315","278159","457","198095","305","112341","171","199464","265","193992","299","243619","347","194759","273","250978","393","320821","569","224403","359","302957","489"
"2022.10.16.00","65653","30","59400","22","102010","31","141059","42","171496","43","165248","59","180243","58","208873","62","133057","42","147356","44","249321","127","220871","125","148882","46","181320","61","213011","103","277702","167","197790","40","112170","33","199199","61","193693","61","243272","86","194486","114","250585","111","320252","138","224045","110","302469","105"
"2022.10.15.00","65570","53","59316","45","101894","102","140879","133","171312","168","165064","139","180020","175","208623","204","132895","104","147192","149","248959","223","220541","231","148712","143","181101","161","212717","172","277275","264","197582","155","112065","100","198982","173","193457","207","242956","232","194205","185","250306","229","319851","269","223750","217","302127","346"
"2022.10.14.00","65517","61","59273","75","101792","114","140746","117","171144","155","164925","133","179845","163","208419","216","132792","129","147043","172","248736","237","220310","226","148570","147","180940","164","212545","186","277011","292","197427","194","111965","96","198810","211","193250","194","242724","228","194020","160","250077","208","319582","351","223533","227","301781","378"
"2022.10.13.00","65456","75","59198","68","101678","110","140629","120","170989","175","164792","176","179683","148","208203","270","132662","144","146873","133","248499","238","220084","272","148423","177","180776","183","212359","215","276720","329","197234","209","111869","121","198599","196","193056","176","242496","232","193860","185","249869","284","319232","366","223307","259","301404","393"
"2022.10.12.00","65381","83","59130","74","101568","126","140509","204","170814","213","164616","242","179535","222","207933","326","132518","197","146740","240","248261","353","219812","303","148246","224","180593","268","212144","273","276391","392","197025","257","111748","129","198403","278","192880","281","242264","343","193675","204","249585","313","318866","431","223049","363","301011","463"
"2022.10.11.00","65298","30","59056","30","101442","57","140305","86","170601","115","164374","70","179314","125","207607","141","132321","115","146500","103","247909","169","219509","94","148022","99","180325","112","211871","142","275999","182","196768","117","111619","64","198126","95","192599","140","241921","179","193471","138","249272","156","318435","230","222687","143","300549","122"
"2022.10.10.00","65268","22","59026","22","101385","22","140219","47","170486","38","164304","45","179189","30","207466","53","132206","41","146397","31","247740","92","219415","106","147923","48","180213","73","211729","68","275817","89","196651","45","111555","22","198031","68","192459","49","241742","60","193333","46","249116","109","318205","93","222544","83","300427","92"
"2022.10.09.00","65246","43","59004","60","101363","74","140172","81","170448","109","164259","115","179159","107","207413","183","132164","118","146374","119","247648","207","219309","151","147875","105","180140","164","211661","174","275728","196","196606","123","111533","79","197963","127","192410","157","241682","172","193287","159","249007","193","318112","237","222461","135","300328","164"
"2022.10.08.00","65203","55","58944","62","101289","70","140091","96","170339","152","164144","134","179052","149","207230","176","132046","116","146255","118","247441","184","219158","189","147770","108","179976","166","211487","163","275532","241","196483","147","111454","82","197836","148","192253","134","241510","190","193128","127","248814","180","317875","285","222326","193","300164","298"
"2022.10.07.00","65148","68","58882","68","101219","81","139995","108","170187","139","164010","132","178903","168","207055","198","131930","121","146137","143","247257","230","218970","193","147662","129","179825","166","211324","180","275291","252","196336","165","111372","80","197688","159","192119","170","241320","201","193001","160","248634","194","317598","274","222133","222","299866","318"
"2022.10.06.00","65080","102","58814","72","101138","118","139887","128","170048","177","163878","169","178735","177","206857","266","131810","149","145995","158","247027","301","218777","282","147533","200","179667","190","211144","203","275039","282","196171","236","111292","82","197529","204","191949","228","241119","264","192841","244","248440","265","317325","367","221911","266","299548","390"
"2022.10.05.00","64978","128","58747","79","101020","178","139759","215","169871","242","163709","306","178559","285","206591","314","131661","212","145837","257","246726","394","218496","337","147333","242","179477","296","210941","291","274757","401","195936","333","111210","139","197325","318","191721","299","240855","344","192597","264","248175","359","316958","513","221645","418","299158","510"
"2022.10.04.00","64850","42","58668","45","100842","52","139544","85","169629","94","163403","78","178275","104","206277","139","131449","83","145580","113","246332","171","218159","144","147091","103","179182","114","210650","145","274356","191","195603","126","111071","57","197008","113","191422","119","240512","133","192333","117","247816","187","316446","209","221227","160","298651","162"
"2022.10.03.00","64808","26","58623","27","100790","34","139459","48","169535","46","163325","79","178171","60","206138","68","131366","40","145467","79","246161","122","218015","147","146988","67","179068","71","210505","102","274165","128","195477","51","111014","40","196895","99","191303","72","240379","101","192216","67","247629","93","316237","141","221067","102","298489","115"
"2022.10.02.00","64782","63","58596","74","100756","97","139411","143","169489","171","163246","140","178111","199","206070","217","131326","124","145388","146","246039","269","217868","229","146921","134","178997","193","210403","211","274037","285","195426","215","110974","88","196796","185","191231","164","240278","218","192149","192","247536","247","316096","303","220965","246","298374","244"
"2022.10.01.00","64719","67","58522","70","100659","112","139268","167","169318","186","163106","200","177912","195","205853","246","131202","153","145242","159","245770","279","217639","296","146787","173","178804","198","210192","228","273752","276","195211","210","110886","144","196611","251","191067","231","240060","240","191957","185","247289","255","315793","358","220719","290","298130","415"
"2022.09.30.00","64652","65","58452","78","100547","134","139101","135","169132","173","162906","207","177717","218","205607","243","131049","147","145083","177","245491","286","217346","254","146614","175","178606","225","209964","235","273476","325","195001","225","110742","130","196360","219","190836","260","239820","323","191772","191","247035","284","315435","351","220429","279","297718","455"
"2022.09.29.00","64587","69","58380","69","100414","139","138966","159","168959","201","162699","194","177499","211","205364","275","130902","164","144906","212","245205","313","217093","288","146439","200","178381","245","209729","283","273151","330","194776","237","110612","150","196143","246","190576","233","239497","319","191581","198","246751","341","315084","414","220150","286","297263","494"
"2022.09.28.00","64518","85","58311","77","100275","149","138807","210","168758","227","162507","235","177288","207","205089","328","130738","200","144694","177","244893","369","216805","354","146239","208","178139","279","209446","272","272821","446","194539","280","110462","172","195897","299","190343","261","239178","361","191383","237","246410","332","314670","482","219865","346","296770","529"
"2022.09.27.00","64434","115","58234","109","100126","196","138599","260","168531","281","162272","265","177081","331","204761","432","130538","248","144517","322","244524","455","216451","331","146031","307","177860","325","209175","330","272375","484","194261","335","110290","226","195598","379","190082","371","238818","417","191146","253","246079","369","314190","557","219519","350","296241","509"
"2022.09.26.00","64319","22","58125","20","99930","55","138339","62","168250","72","162007","78","176750","56","204329","74","130290","62","144195","58","244070","149","216120","167","145725","78","177536","78","208845","104","271891","168","193926","76","110064","38","195219","120","189711","83","238401","99","190893","100","245710","131","313633","149","219169","119","295734","117"
"2022.09.25.00","64297","52","58105","63","99875","89","138277","141","168178","169","161929","141","176694","166","204255","203","130228","161","144137","133","243921","261","215953","217","145647","126","177458","153","208741","212","271723","308","193850","227","110026","122","195099","179","189628","207","238302","270","190793","202","245579","216","313484","391","219050","239","295617","240"
"2022.09.24.00","64245","64","58042","74","99786","123","138136","186","168009","191","161788","181","176528","195","204052","229","130067","170","144004","182","243660","282","215736","237","145521","171","177305","175","208529","265","271415","344","193623","254","109904","128","194920","233","189421","200","238032","294","190591","201","245363","261","313093","352","218811","263","295377","396"
"2022.09.23.00","64181","78","57976","76","99663","110","137950","156","167818","188","161607","202","176333","194","203823","259","129897","150","143827","148","243378","284","215499","281","145350","188","177130","181","208264","228","271072","306","193370","233","109776","132","194687","263","189221","239","237739","260","190391","200","245102","275","312741","322","218548","284","294976","388"
"2022.09.22.00","64103","89","57900","90","99554","106","137794","194","167630","219","161405","194","176139","212","203565","251","129747","189","143679","209","243094","326","215218","283","145162","209","176949","230","208036","241","270766","378","193137","248","109644","134","194424","249","188982","270","237479","283","190192","223","244827","292","312420","342","218264","265","294589","428"
"2022.09.21.00","64014","83","57810","100","99448","152","137600","215","167411","271","161212","240","175927","270","203314","327","129558","199","143470","206","242768","356","214935","372","144953","226","176719","283","207795","300","270388","421","192889","312","109510","163","194175","341","188712","278","237197","373","189969","264","244535","298","312078","433","217999","364","294163","511"
"2022.09.20.00","63931","138","57717","119","99296","174","137385","254","167140","339","160972","347","175657","371","202987","415","129359","276","143264","329","242412","567","214564","400","144727","331","176436","328","207495","417","269967","565","192577","422","109347","223","193834","464","188435","366","236824","472","189705","284","244238","442","311645","634","217635","462","293654","596"
"2022.09.19.00","63793","39","57613","37","99122","53","137131","69","166801","110","160625","120","175287","78","202572","111","129083","94","142935","95","241845","249","214164","231","144396","89","176110","110","207078","172","269402","225","192155","96","109124","63","193370","122","188069","100","236353","124","189421","134","243796","170","311011","170","217173","174","293058","164"
"2022.09.18.00","63754","68","57576","70","99069","104","137062","142","166691","220","160505","177","175209","200","202461","286","128989","197","142840","209","241596","329","213933","246","144307","203","176000","207","206906","302","269177","378","192059","226","109061","137","193248","235","187969","241","236229","374","189287","241","243626","271","310841","341","216999","292","292894","274"
"2022.09.17.00","63686","107","57506","86","98965","151","136920","204","166471","276","160328","246","175009","281","202175","362","128792","226","142631","228","241267","413","213687","380","144104","247","175793","226","206604","344","268799","411","191833","369","108924","141","193013","327","187728","294","235855","476","189046","245","243355","296","310500","485","216707","340","292620","498"
"2022.09.16.00","63579","146","57420","105","98814","172","136717","257","166196","347","160082","311","174728","346","201813","423","128566","261","142403","262","240854","486","213307","454","143857","271","175567","332","206260","376","268388","513","191464","391","108783","211","192687","370","187434","341","235379","482","188801","329","243059","397","310015","605","216367","449","292125","588"
"2022.09.15.00","63433","163","57315","111","98642","228","136460","273","165849","439","159771","425","174383","413","201390","604","128305","323","142146","376","240368","609","212853","549","143586","320","175235","402","205884","575","267875","712","191074","530","108573","231","192321","479","187093","468","234897","641","188472","418","242662","521","309410","690","215918","496","291533","823"
"2022.09.14.00","63270","229","57204","173","98414","343","136187","450","165410","582","159346","631","173970","828","200788","638","127982","488","141770","559","239759","892","212304","721","143266","502","174833","633","205309","823","267164","1064","190544","880","108342","482","191842","844","186625","728","234256","873","188054","560","242143","692","308720","980","215422","877","290710","912"
"2022.09.13.00","63041","89","57031","109","98071","147","135737","247","164829","341","158715","331","173143","417","200150","450","127494","310","141212","292","238867","556","211584","410","142764","306","174200","387","204486","466","266100","642","189664","417","107861","209","190998","294","185898","420","233383","486","187494","359","241451","419","307740","539","214546","519","289799","390"
"2022.09.12.00","62952","81","56922","51","97924","117","135490","133","164488","244","158384","159","172726","195","199700","223","127184","154","140920","172","238311","382","211174","334","142458","177","173813","214","204020","318","265458","443","189247","261","107652","144","190704","294","185478","261","232897","341","187135","235","241032","313","307201","389","214027","255","289409","399"
"2022.09.11.00","62871","58","56871","68","97807","82","135357","130","164244","167","158225","178","172531","180","199477","226","127029","147","140765","127","237928","233","210840","288","142281","159","173599","201","203702","238","265015","230","188986","161","107508","97","190410","151","185217","166","232556","209","186900","193","240719","266","306812","300","213772","252","288995","300"
"2022.09.10.00","62813","58","56803","83","97725","97","135227","145","164077","169","158047","189","172351","209","199251","281","126882","200","140638","196","237695","329","210552","299","142122","166","173398","208","203464","277","264785","459","188825","232","107411","111","190259","225","185051","253","232347","307","186707","309","240453","268","306512","362","213520","293","288695","356"
"2022.09.09.00","62755","186","56720","134","97628","222","135082","314","163908","428","157858","406","172142","516","198970","537","126682","333","140442","349","237366","628","210253","521","141956","384","173190","470","203187","578","264326","629","188593","499","107300","335","190034","482","184798","508","232040","680","186398","515","240185","605","306150","724","213227","536","288339","796"
"2022.09.08.00","62569","164","56586","164","97406","288","134768","338","163480","439","157452","451","171626","452","198433","567","126349","345","140093","362","236738","673","209732","622","141572","360","172721","484","202609","622","263697","736","188094","572","106965","338","189552","510","184290","534","231361","697","185883","491","239580","575","305426","900","212691","541","287544","841"
"2022.09.07.00","62405","189","56421","143","97117","300","134431","367","163043","420","157001","484","171175","511","197867","592","126004","422","139757","453","236067","755","209109","721","141211","468","172248","501","201988","649","262963","890","187522","667","106627","373","189042","595","183756","591","230664","752","185393","535","239006","729","304526","803","212150","645","286673","983"
"2022.09.06.00","62216","254","56278","198","96817","344","134065","496","162623","628","156517","643","170665","756","197276","797","125582","550","139304","649","235312","883","208388","718","140745","581","171747","704","201339","828","262073","1103","186856","887","106254","534","188448","780","183168","791","229913","933","184859","635","238278","857","303723","1361","211506","822","285697","1047"
"2022.09.05.00","61963","76","56080","47","96473","92","133570","116","161997","189","155874","179","169909","144","196480","187","125033","119","138656","167","234432","301","207671","370","140164","166","171045","186","200511","256","260972","342","185970","165","105720","115","187671","200","182377","191","228982","261","184227","242","237425","307","302366","363","210685","253","284652","285"
"2022.09.04.00","61887","165","56033","133","96381","209","133454","300","161808","412","155695","412","169765","459","196293","536","124914","372","138489","351","234131","634","207301","555","139998","353","170859","407","200255","581","260630","634","185805","531","105605","313","187471","453","182186","497","228721","609","183985","479","237118","549","302003","791","210432","577","284367","627"
"2022.09.03.00","61722","154","55900","163","96172","244","133154","343","161396","500","155283","444","169306","459","195757","531","124542","376","138141","412","233497","717","206746","662","139645","399","170452","537","199674","603","259996","820","185274","663","105292","344","187018","558","181689","625","228112","694","183506","528","236569","682","301212","886","209855","626","283737","929"
"2022.09.02.00","61568","190","55777","160","95928","322","132811","400","160896","489","154839","454","168847","560","195226","627","124167","402","137729","497","232780","844","206085","714","139246","448","169915","523","199072","684","259177","917","184611","744","104948","373","186460","635","181064","635","227418","775","182978","600","235887","795","300326","1019","209229","734","282811","1023"
"2022.09.01.00","61379","204","55617","147","95606","240","132411","323","160409","461","154386","401","168288","455","194600","565","123765","341","137232","439","231936","642","205372","633","138798","399","169393","486","198389","549","258262","723","183868","621","104575","344","185831","544","180430","524","226644","693","182381","500","235093","660","299308","929","208496","602","281789","900"
"2022.08.31.00","61175","211","55470","162","95368","319","132088","445","159949","510","153985","458","167833","519","194035","603","123424","422","136794","483","231295","818","204740","827","138400","493","168908","566","197840","695","257540","913","183248","721","104231","428","185287","633","179906","659","225951","775","181883","650","234434","782","298380","1015","207894","743","280896","1061"
"2022.08.30.00","61082","280","55347","231","95075","425","131684","522","159451","648","153682","633","167358","917","191709","814","123218","570","136581","699","230579","985","203934","795","137942","671","168373","772","197155","855","256650","1153","182544","882","103812","511","184686","877","179258","888","225181","969","181253","726","233682","1114","297397","1404","207162","921","280255","1156"
"2022.08.29.00","60805","59","55116","58","94651","110","131163","140","158803","212","153049","181","166442","148","190896","204","122648","153","135901","121","229593","331","203139","312","137271","171","167601","222","196300","289","255497","403","181662","173","103301","116","183810","209","178370","220","224212","284","180527","280","232569","326","295994","336","206243","329","279081","369"
"2022.08.28.00","60746","142","55058","143","94541","253","131023","340","158591","486","152868","387","166294","443","190692","571","122495","413","135780","408","229262","683","202827","674","137100","363","167379","429","196011","672","255094","823","181489","549","103185","290","183601","493","178150","574","223928","681","180247","537","232243","640","295658","808","205914","608","278712","642"
"2022.08.27.00","60604","183","54915","172","94288","314","130683","419","158105","472","152481","451","165851","556","190121","651","122082","384","135372","431","228579","667","202153","632","136737","462","166950","518","195339","602","254271","835","180940","627","102895","349","183108","589","177576","593","223247","723","179710","603","231603","741","294850","1009","205306","661","278070","955"
"2022.08.26.00","60421","216","54743","177","93974","278","130264","412","157633","558","152030","509","165297","542","189470","650","121698","451","134941","485","227912","743","201521","735","136275","483","166432","588","194737","713","253436","926","180313","618","102546","396","182520","687","176984","610","222524","830","179107","645","230863","806","293841","950","204645","693","277117","1056"
"2022.08.25.00","60205","221","54574","201","93697","357","129852","414","157077","650","151522","524","164755","608","188820","657","121247","514","134456","551","227170","871","200786","898","135795","570","165844","659","194024","812","252511","1115","179695","711","102150","420","181834","690","176375","673","221696","920","178463","608","230058","856","292893","1236","203955","818","276066","1168"
"2022.08.24.00","59984","270","54373","271","93342","383","129439","612","156427","734","150999","643","164148","730","188163","858","120735","594","133905","631","226299","939","199888","1034","135226","667","165187","749","193214","885","251400","1137","178985","845","101732","481","181144","864","175705","787","220777","1052","177857","783","229203","995","291657","1346","203137","919","274901","1369"
"2022.08.23.00","59714","344","54105","349","92960","524","128829","702","155693","855","150357","867","163419","1032","187305","1045","120142","673","133274","846","225363","1343","198856","1090","134561","875","164439","938","192330","1129","250265","1492","178140","1124","101253","644","180281","1152","174920","1104","219725","1181","177074","782","228208","1257","290312","1783","202221","1110","273536","1438"
"2022.08.22.00","59370","98","53756","74","92436","139","128127","158","154838","239","149490","224","162387","224","186261","233","119470","222","132430","222","224020","423","197767","450","133686","220","163502","314","191201","368","248773","542","177016","191","100609","159","179132","320","173816","280","218546","358","176292","367","226952","388","288529","452","201111","338","272099","392"
"2022.08.21.00","59272","171","53682","174","92297","316","127969","480","154599","572","149266","521","162163","595","186028","703","119248","449","132208","498","223597","897","197317","907","133466","495","163188","607","190833","724","248231","951","176825","739","100450","412","178812","660","173536","714","218188","905","175925","714","226564","807","288077","1188","200773","753","271707","791"
"2022.08.20.00","59101","272","53508","257","91981","367","127489","546","154027","738","148745","669","161568","738","185325","872","118799","606","131710","632","222700","1040","196410","958","132971","621","162581","768","190109","865","247280","1178","176086","756","100038","412","178152","840","172822","791","217283","1057","175211","703","225757","923","286889","1209","200020","859","270916","1296"
"2022.08.19.00","58829","254","53251","274","91615","423","126943","622","153290","784","148077","596","160830","664","184454","892","118193","655","131078","630","221661","989","195452","955","132350","590","161813","787","189245","910","246105","1188","175330","849","99626","533","177312","865","172031","829","216226","1223","174509","752","224834","993","285681","1401","199161","947","269622","1428"
"2022.08.18.00","58575","385","53007","376","91192","653","126321","750","152506","999","147481","832","160166","1070","183562","1220","117538","769","130448","784","220675","1422","194497","1349","131761","888","161026","1009","188335","1162","244917","1599","174481","1161","99094","701","176447","1100","171203","1219","215003","1483","173758","1154","223842","1309","284280","1756","198215","1366","268194","1859"
"2022.08.17.00","58190","394","52651","365","90539","824","125571","985","151507","1083","146649","987","159096","1310","182343","1208","116769","826","129664","982","219253","1582","193149","1345","130874","1085","160018","1281","187173","1441","243320","1857","173320","1451","98393","810","175347","1487","169984","1367","213520","1726","172604","1159","222535","1630","282524","2088","196850","1432","266337","1818"
"2022.08.16.00","57796","112","52299","142","89715","179","124587","362","150424","423","145664","346","157787","435","181140","630","115943","341","128682","487","217672","932","191807","657","129791","489","158737","472","185732","586","241465","791","171869","409","97583","258","173860","469","168618","504","211794","626","171445","609","220906","711","280440","817","195418","658","264555","615"
"2022.08.15.00","57684","110","52157","107","89536","191","124225","238","150001","253","145318","284","157352","230","180510","339","115602","214","128195","185","216740","484","191150","473","129302","299","158265","309","185146","361","240674","501","171460","232","97325","154","173391","332","168114","332","211168","407","170836","258","220195","481","279623","531","194760","479","263940","462"
"2022.08.14.00","57574","257","52050","198","89345","375","123987","547","149748","713","145034","558","157122","657","180171","908","115388","598","128010","575","216256","1080","190677","986","129003","619","157956","695","184785","858","240173","1138","171228","860","97171","424","173059","718","167782","778","210761","1024","170578","856","219714","946","279092","1331","194281","921","263478","976"
"2022.08.13.00","57317","242","51852","255","88970","495","123440","602","149035","725","144476","652","156465","822","179263","894","114790","556","127435","650","215176","1177","189691","973","128384","723","157261","905","183927","945","239035","1236","170368","954","96747","462","172341","812","167004","813","209737","1050","169722","881","218768","1076","277761","1456","193360","1078","262502","1425"
"2022.08.12.00","57075","277","51597","278","88475","540","122838","649","148310","708","143824","728","155643","748","178369","960","114234","586","126786","654","213999","1154","188718","1104","127661","750","156356","876","182982","999","237799","1335","169414","962","96286","503","171533","881","166192","908","208687","1173","168841","938","217692","1123","276305","1474","192283","1018","261077","1509"
"2022.08.11.00","56798","315","51319","316","87935","592","122189","675","147602","842","143096","762","154895","834","177409","1044","113648","648","126132","743","212846","1181","187615","1116","126911","811","155481","952","181983","1042","236464","1520","168452","960","95783","491","170652","999","165284","926","207514","1316","167904","950","216569","1197","274833","1693","191265","1047","259571","1544"
"2022.08.10.00","56483","333","51003","292","87343","599","121514","668","146760","790","142334","856","154061","963","176365","1093","113000","713","125389","755","211666","1314","186499","1194","126101","847","154529","975","180941","1163","234944","1484","167492","1051","95293","616","169658","1043","164359","1048","206198","1225","166954","1042","215372","1327","273140","1713","190218","1215","258027","1749"
"2022.08.09.00","56150","371","50711","309","86744","661","120846","857","145970","966","141478","888","153098","1196","175274","1208","112287","736","124634","936","210352","1596","185305","1040","125254","1093","153554","1202","179778","1249","233461","1646","166441","1237","94678","709","168615","1221","163311","1229","204973","1526","165912","985","214045","1558","271430","2014","189004","1339","256281","1717"
"2022.08.08.00","55781","96","50403","91","86083","143","119990","165","145004","296","140590","265","151902","239","174067","249","111551","233","123702","242","208758","447","184268","392","124161","255","152353","309","178530","373","231816","535","165206","246","93969","161","167398","300","162082","271","203447","338","164928","366","212487","483","269416","523","187666","445","254568","404"
"2022.08.07.00","55685","262","50312","244","85940","388","119825","428","144708","602","140325","517","151663","668","173818","840","111318","524","123460","537","208311","969","183876","905","123906","593","152044","756","178157","782","231281","1093","164960","782","93808","428","167098","695","161811","771","203109","996","164562","775","212004","869","268893","1128","187221","886","254164","928"
"2022.08.06.00","55423","228","50068","217","85552","398","119397","569","144106","711","139808","591","150995","735","172978","837","110794","508","122923","632","207342","1055","182971","920","123313","617","151288","755","177375","878","230188","1149","164178","758","93380","468","166403","808","161040","749","202113","1086","163787","825","211135","1085","267765","1271","186335","892","253236","1418"
"2022.08.05.00","55195","279","49851","215","85155","485","118830","558","143395","708","139218","639","150260","777","172141","899","110286","505","122295","645","206289","1105","182051","862","122696","671","150533","763","176497","832","229043","1215","163420","863","92912","412","165599","824","160291","822","201027","1107","162962","779","210050","969","266495","1306","185443","1092","251818","1485"
"2022.08.04.00","54916","282","49636","223","84670","454","118272","496","142687","660","138579","679","149483","732","171242","825","109781","534","121650","535","205184","1059","181189","958","122025","614","149770","826","175665","920","227829","1116","162557","795","92500","428","164775","791","159469","815","199920","1057","162183","940","209081","974","265189","1324","184351","921","250336","1281"
"2022.08.03.00","54635","305","49413","287","84216","515","117776","604","142027","877","137900","677","148751","805","170418","946","109247","569","121115","657","204125","1167","180231","1071","121411","729","148944","881","174745","981","226713","1279","161762","842","92072","488","163985","918","158655","863","198863","1253","161243","1038","208108","1253","263865","1427","183430","1025","249059","1566"
"2022.08.02.00","54330","356","49126","343","83701","594","117172","693","141150","738","137225","751","147944","923","169473","1013","108678","578","120476","767","202957","1197","179161","1020","120682","819","148062","1089","173765","956","225435","1362","160919","917","91584","567","163067","1105","157793","1007","197609","1276","160206","842","206856","1230","262439","1818","182405","1159","247492","1495"
"2022.08.01.00","53974","87","48783","78","83107","150","116479","220","140412","314","136475","274","147021","200","168464","284","108100","209","119709","207","201760","441","178143","337","119863","234","146973","283","172810","345","224081","456","160002","201","91017","123","161967","316","156787","240","196333","329","159364","424","205626","399","260621","458","181246","327","245998","404"
"2022.07.31.00","53887","190","48705","190","82957","274","116259","394","140098","452","136201","420","146821","521","168180","630","107891","367","119502","396","201319","767","177806","781","119629","424","146690","582","172465","681","223625","740","159801","525","90894","260","161651","520","156547","530","196004","759","158940","651","205227","756","260163","982","180919","692","245594","665"
"2022.07.30.00","53697","227","48515","225","82683","398","115865","402","139646","650","135781","515","146300","558","167550","696","107524","380","119106","480","200552","775","177025","778","119205","569","146108","664","171784","714","222885","910","159276","613","90634","326","161131","618","156017","624","195245","799","158289","760","204471","876","259181","1112","180227","799","244929","1120"
"2022.07.29.00","53471","259","48290","203","82287","415","115465","464","138996","541","135266","509","145742","568","166855","715","107144","441","118626","548","199778","893","176247","780","118636","562","145444","690","171070","745","221978","995","158663","561","90308","360","160513","694","155393","651","194446","976","157529","741","203596","962","258069","1174","179428","803","243809","1267"
"2022.07.28.00","53212","229","48087","203","81872","408","115001","507","138455","763","134757","585","145175","613","166142","798","106703","514","118078","444","198885","888","175467","800","118074","561","144754","692","170326","817","220983","1031","158102","703","89948","351","159819","654","154742","704","193470","924","156788","856","202634","1024","256895","1156","178625","830","242543","1114"
"2022.07.27.00","52984","278","47884","263","81464","437","114494","552","137694","748","134173","581","144564","692","165346","797","106189","524","117635","588","197999","948","174669","922","117514","633","144064","740","169511","750","219955","1137","157399","671","89597","377","159168","815","154039","806","192546","1030","155932","969","201614","1074","255741","1340","177798","895","241434","1516"
"2022.07.26.00","52707","323","47621","311","81027","628","113942","671","136946","799","133592","730","143872","720","164549","943","105666","543","117047","658","197054","1253","173750","868","116881","762","143324","1005","168761","846","218818","1270","156729","845","89220","424","158353","945","153234","945","191517","1238","154963","883","200540","1374","254401","1648","176904","1071","239918","1404"
"2022.07.25.00","52384","66","47310","52","80399","129","113271","134","136148","221","132863","173","143153","157","163606","198","105123","132","116390","149","195811","359","172882","361","116119","188","142324","208","167915","258","217550","426","155884","116","88796","78","157410","249","152289","215","190279","310","154080","374","199166","447","252754","394","175833","284","238517","289"
